id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15652438,Stylish Townhouse w/ Glass Roof - 200m from beach,55834593,Monique,,Surf Coast,-38.31967,144.33392,Entire home/apt,243,2,65,2024-06-10,0.70,1,318,8,
15691363,The Sandcastle:Great Location !,8460834,Lorna,,Colac Otway,-38.74852,143.66687,Entire home/apt,443,1,414,2024-06-27,4.53,2,332,48,
15692359,"Coastal Sojourn
Bungalow",25763945,Kerrie,,Greater Geelong,-38.2716,144.48722,Entire home/apt,140,2,335,2024-06-10,3.60,1,35,24,
15693182,Villa Picasso - stylish 2 bdr unit,40155287,Joy,,Greater Geelong,-38.26179,144.53468,Entire home/apt,,4,12,2023-01-06,0.13,1,0,0,
15745907,"Haydock Beach Cottage, Jan Juc, Great Ocean Road",19021458,Susan,,Surf Coast,-38.33986,144.30595,Entire home/apt,250,2,212,2024-04-27,2.31,1,327,21,
15749253,Ohana - with heated plunge pool,43631737,Simone,,Greater Geelong,-38.27647,144.48315,Entire home/apt,695,7,10,2024-01-14,0.11,2,134,1,
15794418,Anglesea Nest is luxury with stunning views,24852056,Tim,,Surf Coast,-38.41533,144.17776,Entire home/apt,500,3,1,2024-06-21,1,1,87,1,
15794830,Torquay Farm Stay Blue Studio Truck,49970430,MaryRose,,Surf Coast,-38.26785,144.27787,Entire home/apt,165,2,191,2024-06-24,2.09,3,158,40,
15804788,Beach Shack,38129101,Kristy,,Greater Geelong,-38.14606,144.71864,Entire home/apt,126,2,80,2024-04-10,0.93,1,58,9,
15824567,Panoramic Otway Views Farm,102452459,Chris,,Colac Otway,-38.39743,143.67917,Entire home/apt,743,2,170,2024-06-09,1.87,1,163,18,
15845099,Apollo Bay Beach House - the best views,102640375,Karen,,Colac Otway,-38.747245931852845,143.6683868490195,Entire home/apt,550,1,786,2024-06-26,8.86,1,65,151,
15845951,"Serene, close to f'way & ferry, private bathroom",34970530,Marie,,Greater Geelong,-38.14366,144.32356,Private room,104,1,126,2024-06-02,1.36,1,26,48,
15846384,12 bell retreat,102654176,Amanda,,Greater Geelong,-38.19055,144.71169,Entire home/apt,1200,5,14,2024-05-19,0.15,1,248,4,
15848847,Yawnoc Cottage - Country Stay Woolsthorpe,100329264,Seona And Simon,,Moyne,-38.14129,142.42651,Entire home/apt,121,1,138,2024-04-28,1.55,1,173,15,
15863281,Sea views for a Perfect Family Getaway,102820426,Jenny,,Greater Geelong,-38.26261,144.51679,Entire home/apt,,5,3,2021-04-07,0.07,1,0,0,
15872913,Coffey Court Cottage 2,51748440,Reservations Team,,Surf Coast,-38.34069,144.30358,Entire home/apt,460,2,3,2020-12-20,0.04,114,350,0,
15874394,Comfy Surf Coast Guesthouse,57188370,Stuart,,Surf Coast,-38.31872,144.31444,Private room,130,1,258,2024-06-25,2.80,3,355,9,
15879872,La Shed - Barwon Heads,24086499,Ashley,,Greater Geelong,-38.26897,144.48943,Entire home/apt,300,3,13,2023-01-28,0.14,2,216,0,
